route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00005,RD,00005_A_RD_1702,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1107,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1756,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_2217,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_2022,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_A_RD_2212,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1429,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_0821,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_A_RD_1411,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1106,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_B_N_0655,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1946,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1834,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1135,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1709,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_0850,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_0738,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_2149,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1015,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1618,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_2036,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1455,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0558,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1159,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_2130,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1059,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_0634,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1557,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_A_N_1514,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1402,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_B_N_0949,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_2243,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_2130,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1549,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_2122,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1026,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0913,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_0855,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1644,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1824,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1252,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1447,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1913,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_2154,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_A_RD_0536,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_0930,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_B_N_1949,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1810,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1658,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
